Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
21701 ALTAMIRA AVE,0.0826,1632,1980,2,2,10/9/19,265000,TOWNHOUSE
21699 TOWN PLACE DR,0.1446,2549,1984,2,2,3/28/18,425000,SINGLE FAMILY
21690 CROMWELL CIR,0.1463,1845,1988,2,2,11/15/17,328650,SINGLE FAMILY
21687 CROMWELL CIR,0.0827,1701,1986,2,2,6/22/18,290000,SINGLE FAMILY
21671 CROMWELL CIR,0.0877,1531,1986,2,2,4/20/18,295000,SINGLE FAMILY
21655 ALTAMIRA AVE,0.0826,2042,1980,2,2,4/24/19,275000,TOWNHOUSE
21639 TOWN PLACE DR,0.1674,2559,1984,2,2,12/9/16,430000,SINGLE FAMILY
21633 ALTAMIRA AVE,0.0826,1752,1980,2,2,1/31/18,252000,TOWNHOUSE
21616 GUADALAJARA AVE,0.0826,1752,1980,2,2,10/11/18,266000,TOWNHOUSE
21615 ALTAMIRA AVE,0.0826,1752,1980,2,2,6/14/19,265000,TOWNHOUSE
21613 CORONADO AVE,0.0826,1752,1985,2,2,6/14/17,250000,TOWNHOUSE
21600 ALTAMIRA AVE,0.0827,1752,1980,2,2,11/8/19,269900,TOWNHOUSE
21596 CORONADO AVE,0.0826,1752,1985,2,2,10/25/19,280000,TOWNHOUSE
21579 CORONADO AVE,0.0826,2042,1980,2,2,12/27/18,312000,TOWNHOUSE
21573 CORONADO AVE,0.0826,1700,1980,2,2,3/27/18,260000,TOWNHOUSE
W 6928 VILLAS DR,0.2159,3311,1979,3,2,3/17/17,450000,SINGLE FAMILY
W 6921 VILLAS DR,0.2438,2914,1978,3,2,9/23/18,353000,SINGLE FAMILY
W 6912 VILLAS DR,0.1614,2883,1979,3,2,3/23/18,385000,SINGLE FAMILY
W 6800 HOLLANDAIRE DR,0.3162,3035,1978,3,2,11/21/19,410000,SINGLE FAMILY
W 6760 HOLLANDAIRE DR,0.2059,2679,1979,3,2,9/2/17,410000,SINGLE FAMILY
W 6760 HOLLANDAIRE DR,0.2059,2679,1979,3,2,3/21/17,375000,SINGLE FAMILY
W 6728 HOLLANDAIRE DR,0.1674,2743,1979,3,2,4/5/18,360000,SINGLE FAMILY
W 6719 HOLLANDAIRE DR,0.1506,2375,1979,3,3,9/13/19,417500,SINGLE FAMILY
W 6637 HOLLANDAIRE DR,0.1504,2183,1978,3,2,10/20/17,385000,SINGLE FAMILY
W 6573 HOLLANDAIRE DR,0.1486,2603,1978,3,2,5/11/17,415000,SINGLE FAMILY
W 22078 SOLIEL CIR,0.2494,2519,1974,3,2,5/8/19,400000,SINGLE FAMILY
E 6814 VILLAS DR,0.1948,3033,1979,3,2,10/18/18,299000,SINGLE FAMILY
7256 VIA PALOMAR,0.127,3153,1989,3,2,3/15/17,403000,SINGLE FAMILY
7229 ARCADIA CT,0.2307,2366,1981,3,2,8/28/17,647000,SINGLE FAMILY
7215 VIA PALOMAR,0.1427,2563,1988,3,2,7/2/18,433620,SINGLE FAMILY
7195 VIA PALOMAR,0.1324,3331,1989,3,2,3/27/19,525000,SINGLE FAMILY
6976 TIBURON CIR,0.0642,1365,1978,3,2,4/17/18,249000,TOWNHOUSE
6937 ESCOBAR CT,0.082,1811,1980,3,2,5/29/19,295000,TOWNHOUSE
6934 CONSOLATA ST,0.0972,1995,1980,3,2,8/9/17,287000,TOWNHOUSE
6925 ESCOBAR CT,0.1058,1995,1980,3,2,12/29/16,260500,TOWNHOUSE
6905 TIBURON CIR,0.0609,1290,1978,3,2,12/8/17,250000,TOWNHOUSE
6875 TERRA TRANQUILA DR,0.19,3070,1986,3,2,4/16/18,432000,SINGLE FAMILY
6866 BRIDLEWOOD CT,0.0402,1590,1985,3,2,2/15/18,264000,TOWNHOUSE
6863 BRIDLEWOOD CT,0.0368,1480,1985,3,2,3/14/18,260000,TOWNHOUSE
6859 BRIDLEWOOD CT,0.0368,1480,1985,3,2,2/3/17,242000,TOWNHOUSE
6854 TIBURON DR,0.0862,1600,1978,3,2,8/14/17,265000,TOWNHOUSE
6851 BRIDLEWOOD CT,0.0402,1590,1985,3,2,11/14/17,249500,TOWNHOUSE
6848 BRIDLEWOOD CT,0.0402,1590,1985,3,2,2/23/17,225500,TOWNHOUSE
6835 BRIDLEWOOD CT,0.0402,1590,1985,3,2,1/9/18,237500,TOWNHOUSE
6809 CONSOLATA ST,0.0978,1995,1984,3,2,6/29/17,275000,TOWNHOUSE
6805 TIBURON CIR,0.0971,2097,1978,3,2,4/17/18,287000,TOWNHOUSE
6803 BRIDLEWOOD CT,0.0368,1480,1985,3,2,6/15/18,263000,TOWNHOUSE
6801 BRIDLEWOOD CT,0.0368,1350,1985,3,2,5/30/17,224000,TOWNHOUSE
6786 TIBURON CIR,0.0711,1651,1978,3,2,11/13/17,265000,TOWNHOUSE
6770 TIBURON DR,0.0627,1992,1979,3,2,4/9/19,305000,TOWNHOUSE
6768 CANARY PALM CIR,0.111,2176,1980,3,3,11/14/19,283000,TOWNHOUSE
6765 BRIDLEWOOD CT,0.0404,1735,1984,3,2,11/7/18,282000,TOWNHOUSE
6752 CANARY PALM CIR,0.0671,2124,1980,3,2,7/7/17,292000,TOWNHOUSE
6747 MONTEGO BAY BLVD,0.0841,2681,1988,3,2,3/22/19,315000,TOWNHOUSE
6744 TIBURON CIR,0.0519,2002,1979,3,2,1/19/19,300000,TOWNHOUSE
6743 MONTEGO BAY BLVD,0.085,2681,1988,3,2,8/28/19,325000,TOWNHOUSE
6740 CANARY PALM CIR,0.1087,2124,1980,3,2,4/25/19,310000,TOWNHOUSE
6733 MONTEGO BAY BLVD,0.1021,2682,1988,3,2,11/1/18,390000,TOWNHOUSE
6724 TIBURON CIR,0.0519,2005,1979,3,2,5/17/17,260000,TOWNHOUSE
6720 CANARY PALM CIR,0.1301,1945,1986,3,2,12/15/16,255000,TOWNHOUSE
6717 BOCA HERMOSA LN,0.0494,2575,1990,3,2,3/21/18,300000,TOWNHOUSE
6707 MONTEGO BAY BLVD,0.0908,2681,1988,3,2,7/26/19,295000,TOWNHOUSE
6706 CANARY PALM CIR,0.0891,2747,1986,3,2,12/13/18,305420,TOWNHOUSE
6697 BOCA HERMOSA LN,0.0529,2921,1990,3,2,1/26/18,325000,TOWNHOUSE
6682 TIBURON CIR,0.0568,2004,1979,3,2,8/1/19,299000,TOWNHOUSE
6682 TIBURON CIR,0.0568,2004,1979,3,2,6/29/17,269900,TOWNHOUSE
