Address,Lot Size,Total SQFT,Year Built,Bed,Full Bath,Sale Date,Sale Price,Description
161 PROMENADE WAY,0.0792,2382,2001,3,2,11/1/21,570000,TOWNHOUSE
159 WATERFORD DR,0.084,2376,2001,3,2,8/26/21,560000,TOWNHOUSE
157 WATERFORD DR,0.0581,2364,2001,3,2,6/8/22,599000,TOWNHOUSE
157 PROMENADE WAY,0.0728,2294,2001,3,2,3/8/23,609000,TOWNHOUSE
156 PROMENADE WAY,0.0686,2294,2001,3,2,8/26/21,485000,TOWNHOUSE
154 PROMENADE WAY,0.0813,2278,2001,3,2,2/7/22,620000,TOWNHOUSE
154 MIDDLEBURY DR,0.079,2278,2001,3,2,6/29/22,699000,TOWNHOUSE
154 MIDDLEBURY DR,0.079,2278,2001,3,2,2/17/22,630000,TOWNHOUSE
153 WATERFORD DR,0.0581,2364,2001,3,2,8/23/21,474000,TOWNHOUSE
153 ANDOVER DR,0.0805,2370,2001,3,2,8/5/22,675000,TOWNHOUSE
151 ANDOVER DR,0.0806,2294,2001,3,2,2/23/24,700000,TOWNHOUSE
148 MILBRIDGE DR,0.058,2364,2001,3,2,5/2/23,550000,TOWNHOUSE
146 MIDDLEBURY DR,0.0727,2294,2001,3,2,5/24/23,625000,TOWNHOUSE
142 MIDDLEBURY DR,0.0727,2266,2001,3,2,6/23/21,385000,TOWNHOUSE
140 NEWCASTLE DR,0.1517,2654,2001,3,2,5/16/23,800000,SINGLE FAMILY
138 POINCIANA DR,0.1281,2966,2001,3,2,5/2/22,1003145,SINGLE FAMILY
138 NEWCASTLE DR,0.1517,2640,2001,3,2,5/25/21,597000,SINGLE FAMILY
137 FARMINGDALE DR,0.0761,2266,2001,3,2,7/11/23,625000,TOWNHOUSE
136 NEWCASTLE DR,0.1953,3623,2001,4,3,6/9/23,1280000,SINGLE FAMILY
136 MIDDLEBURY DR,0.0861,2382,2001,3,2,3/10/23,685000,TOWNHOUSE
136 MIDDLEBURY DR,0.0861,2382,2001,3,2,3/30/21,456000,TOWNHOUSE
135 WATERFORD DR,0.1924,2654,2001,3,2,5/8/21,695000,SINGLE FAMILY
135 ROCKINGHAM RD,0.1449,3623,2001,5,3,9/29/21,1150000,SINGLE FAMILY
135 POINCIANA DR,0.1286,2807,2001,3,2,8/6/21,580000,SINGLE FAMILY
135 FARMINGDALE DR,0.0761,2370,2001,3,2,7/11/22,610000,TOWNHOUSE
134 POINCIANA DR,0.1263,2640,2001,3,2,10/10/22,960000,SINGLE FAMILY
134 POINCIANA DR,0.1263,2640,2001,3,2,6/4/21,649900,SINGLE FAMILY
133 POINCIANA DR,0.1028,1990,2001,2,2,2/24/22,570000,SINGLE FAMILY
133 FARMINGDALE DR,0.0761,2370,2001,3,2,5/12/22,619000,TOWNHOUSE
